kind,doc_id,doc_saint,doc_title_english,doc_title_geez,doc_title_amharic,doc_title_transliteration,section_id,section_title_english,section_title_geez,section_title_amharic,section_title_transliteration,block_id,block_type,speaker,geez,amharic,english,transliteration,dynamic,overrideId,optional
block,,,,,,,,,,,,cy-fr-6,prayer,priest,,,"O Lord, sanctify us with Thy sanctification, and purify us through Thy mercy, and make us worthy to partake of Thy holy mystery.",,\N,\N,\N
block,,,,,,,,,,,,cy-fr-7,prayer,priest,,,"Let not this coal of fire, which we have laid before Thee upon Thy holy altar, be our accuser, and let not this bread of worship which we break be for vengeance because we did not purify our soul and our body.",,\N,\N,\N
block,,,,,,,,,,,,cy-fr-8,prayer,priest,,,"It is fearful to open the lips to eat burning fire and swallow glowing coal, if the belly is not purified from deceit.",,\N,\N,\N
block,,,,,,,,,,,,cy-fr-9,prayer,priest,,,It is fearful to see the slaughter of the pure bridegroom in his pavilion.,,\N,\N,\N
block,,,,,,,,,,,,cy-fr-10,prayer,priest,,,It is fearful to see the killing of the Son of the living God before His heavenly Father.,,\N,\N,\N
block,,,,,,,,,,,,cy-fr-11,prayer,priest,,,It is fearful to draw near the flame of the Deity and to touch the lightning of glory.,,\N,\N,\N
section,,,,,,,saint-cyril-lords-prayer,Lord's Prayer,\N,\N,\N,,,,,,,,,,
block,,,,,,,,,,,,cy-lp-1,rubric,\N,,,Deacon: Pray ye.,,\N,\N,\N
block,,,,,,,,,,,,cy-lp-2,response,congregation,,,"Our Father who art in heaven . . . (see Anaphora of the Lord, #69)",,\N,\N,\N
section,,,,,,,saint-cyril-pre-communion,Pre-Communion,\N,\N,\N,,,,,,,,,,
block,,,,,,,,,,,,cy-pc-1,prayer,priest,,,"Let us, therefore, purify ourselves to take it and sanctify our souls to receive it and say :
Glory be to the Father who has been pleased that the pure fatted calf may be killed.
Glory be to the Son who is the pure fatted Calf.
Glory be to the Holy Spirit Who has made this bread the flesh of the pure fatted Calf.
Three names and one God,
Three likenesses and one appearance,
Three persons and one essence.",,\N,\N,\N
block,,,,,,,,,,,,cy-pc-2,prayer,priest,,,"Worthy is He to be glorified by the mouths of the watchful angels, worthy is He to be sanctified by the mouths of the prophets and apostles from now till the end of the world and till the second advent.",,\N,\N,\N
